source,dataset,origin_country,destination_country,year,period,measure_type,value,total_migrants,male_migrants,female_migrants,analysis_question
undesa,undesa_destinations,Cameroon,Bolivia (Plurinational State of),2024,post_covid,stock,15.0,15.0,14.0,1.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Brazil,2024,post_covid,stock,723.0,723.0,532.0,191.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Chile,2024,post_covid,stock,281.0,281.0,49.0,232.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Canada,2024,post_covid,stock,43662.0,43662.0,20745.0,22917.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Australia,2024,post_covid,stock,695.0,695.0,397.0,298.0,Q1_destinations
oecd,oecd_migration_database,Cameroon,Australia,2015,pre_covid,inflow,26.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Australia,2016,pre_covid,inflow,18.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Australia,2017,pre_covid,inflow,11.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Australia,2018,pre_covid,inflow,15.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Australia,2019,pre_covid,inflow,15.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Australia,2020,covid,inflow,19.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Australia,2021,covid,inflow,25.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Austria,2015,pre_covid,inflow,93.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Austria,2016,pre_covid,inflow,72.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Austria,2017,pre_covid,inflow,85.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Austria,2018,pre_covid,inflow,58.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Austria,2019,pre_covid,inflow,41.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Austria,2020,covid,inflow,42.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Austria,2021,covid,inflow,55.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Belgium,2015,pre_covid,inflow,1504.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Belgium,2016,pre_covid,inflow,1611.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Belgium,2017,pre_covid,inflow,1698.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Belgium,2018,pre_covid,inflow,1754.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Belgium,2019,pre_covid,inflow,1775.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Belgium,2020,covid,inflow,1735.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Belgium,2021,covid,inflow,2765.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Canada,2015,pre_covid,inflow,2034.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Canada,2016,pre_covid,inflow,2110.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Canada,2017,pre_covid,inflow,2285.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Canada,2018,pre_covid,inflow,2275.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Canada,2019,pre_covid,inflow,2950.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Canada,2020,covid,inflow,1595.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Canada,2021,covid,inflow,2560.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Czechia,2015,pre_covid,inflow,8.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Czechia,2016,pre_covid,inflow,5.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Denmark,2015,pre_covid,inflow,88.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Denmark,2016,pre_covid,inflow,87.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Denmark,2017,pre_covid,inflow,71.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Denmark,2018,pre_covid,inflow,57.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Denmark,2019,pre_covid,inflow,46.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Denmark,2020,covid,inflow,47.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Denmark,2021,covid,inflow,54.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Finland,2015,pre_covid,inflow,67.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Finland,2016,pre_covid,inflow,112.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Finland,2017,pre_covid,inflow,87.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Finland,2018,pre_covid,inflow,64.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Finland,2019,pre_covid,inflow,80.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Finland,2020,covid,inflow,111.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Finland,2021,covid,inflow,122.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,France,2015,pre_covid,inflow,3164.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,France,2016,pre_covid,inflow,3197.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,France,2017,pre_covid,inflow,3446.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,France,2018,pre_covid,inflow,3400.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,France,2019,pre_covid,inflow,3647.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,France,2020,covid,inflow,3384.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,France,2021,covid,inflow,4024.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,France,2022,post_covid,inflow,3815.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Germany,2015,pre_covid,inflow,3189.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Germany,2016,pre_covid,inflow,3109.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Germany,2017,pre_covid,inflow,2583.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Germany,2018,pre_covid,inflow,3790.0,,,,Q1_destinations
