source,dataset,origin_country,destination_country,year,period,reason,sub_reason,measure_type,value,analysis_question
eurostat,eurostat_first_permits,Cameroon,Switzerland,2021,covid,other,not_applicable,permit,40.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,United Kingdom,2021,covid,other,not_applicable,permit,0.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Serbia,2021,covid,other,not_applicable,permit,0.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Belgium,2022,post_covid,other,not_applicable,permit,262.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Bulgaria,2022,post_covid,other,not_applicable,permit,0.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Czechia,2022,post_covid,other,not_applicable,permit,5.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Denmark,2022,post_covid,other,not_applicable,permit,3.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Germany,2022,post_covid,other,not_applicable,permit,481.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Estonia,2022,post_covid,other,not_applicable,permit,2.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Ireland,2022,post_covid,other,not_applicable,permit,40.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Greece,2022,post_covid,other,not_applicable,permit,338.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Spain,2022,post_covid,other,not_applicable,permit,74.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,France,2022,post_covid,other,not_applicable,permit,762.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Croatia,2022,post_covid,other,not_applicable,permit,0.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Italy,2022,post_covid,other,not_applicable,permit,784.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Cyprus,2022,post_covid,other,not_applicable,permit,76.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Latvia,2022,post_covid,other,not_applicable,permit,1.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Lithuania,2022,post_covid,other,not_applicable,permit,32.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Luxembourg,2022,post_covid,other,not_applicable,permit,2.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Hungary,2022,post_covid,other,not_applicable,permit,5.0,Q2_entry_reasons
