destination_country,origin_country,year,value,source,dataset,measure_type,period,analysis_question,reason,sub_reason
Belgium,Cameroon,2021,1125,eurostat,eurostat_first_permits,permit,covid,Q2_entry_reasons,family,not_applicable
Bulgaria,Cameroon,2021,1,eurostat,eurostat_first_permits,permit,covid,Q2_entry_reasons,family,not_applicable
Czechia,Cameroon,2021,3,eurostat,eurostat_first_permits,permit,covid,Q2_entry_reasons,family,not_applicable
Denmark,Cameroon,2021,45,eurostat,eurostat_first_permits,permit,covid,Q2_entry_reasons,family,not_applicable
Germany,Cameroon,2021,1065,eurostat,eurostat_first_permits,permit,covid,Q2_entry_reasons,family,not_applicable
Estonia,Cameroon,2021,10,eurostat,eurostat_first_permits,permit,covid,Q2_entry_reasons,family,not_applicable
Ireland,Cameroon,2021,9,eurostat,eurostat_first_permits,permit,covid,Q2_entry_reasons,family,not_applicable
Greece,Cameroon,2021,3,eurostat,eurostat_first_permits,permit,covid,Q2_entry_reasons,family,not_applicable
Spain,Cameroon,2021,264,eurostat,eurostat_first_permits,permit,covid,Q2_entry_reasons,family,not_applicable
France,Cameroon,2021,2639,eurostat,eurostat_first_permits,permit,covid,Q2_entry_reasons,family,not_applicable
Croatia,Cameroon,2021,2,eurostat,eurostat_first_permits,permit,covid,Q2_entry_reasons,family,not_applicable
Italy,Cameroon,2021,455,eurostat,eurostat_first_permits,permit,covid,Q2_entry_reasons,family,not_applicable
Cyprus,Cameroon,2021,27,eurostat,eurostat_first_permits,permit,covid,Q2_entry_reasons,family,not_applicable
Latvia,Cameroon,2021,0,eurostat,eurostat_first_permits,permit,covid,Q2_entry_reasons,family,not_applicable
Lithuania,Cameroon,2021,2,eurostat,eurostat_first_permits,permit,covid,Q2_entry_reasons,family,not_applicable
Luxembourg,Cameroon,2021,80,eurostat,eurostat_first_permits,permit,covid,Q2_entry_reasons,family,not_applicable
Hungary,Cameroon,2021,8,eurostat,eurostat_first_permits,permit,covid,Q2_entry_reasons,family,not_applicable
Malta,Cameroon,2021,0,eurostat,eurostat_first_permits,permit,covid,Q2_entry_reasons,family,not_applicable
Netherlands,Cameroon,2021,46,eurostat,eurostat_first_permits,permit,covid,Q2_entry_reasons,family,not_applicable
Austria,Cameroon,2021,13,eurostat,eurostat_first_permits,permit,covid,Q2_entry_reasons,family,not_applicable
Poland,Cameroon,2021,9,eurostat,eurostat_first_permits,permit,covid,Q2_entry_reasons,family,not_applicable
Portugal,Cameroon,2021,9,eurostat,eurostat_first_permits,permit,covid,Q2_entry_reasons,family,not_applicable
Romania,Cameroon,2021,12,eurostat,eurostat_first_permits,permit,covid,Q2_entry_reasons,family,not_applicable
Slovenia,Cameroon,2021,0,eurostat,eurostat_first_permits,permit,covid,Q2_entry_reasons,family,not_applicable
Slovakia,Cameroon,2021,1,eurostat,eurostat_first_permits,permit,covid,Q2_entry_reasons,family,not_applicable
Finland,Cameroon,2021,115,eurostat,eurostat_first_permits,permit,covid,Q2_entry_reasons,family,not_applicable
Sweden,Cameroon,2021,82,eurostat,eurostat_first_permits,permit,covid,Q2_entry_reasons,family,not_applicable
Iceland,Cameroon,2021,1,eurostat,eurostat_first_permits,permit,covid,Q2_entry_reasons,family,not_applicable
Liechtenstein,Cameroon,2021,0,eurostat,eurostat_first_permits,permit,covid,Q2_entry_reasons,family,not_applicable
Norway,Cameroon,2021,16,eurostat,eurostat_first_permits,permit,covid,Q2_entry_reasons,family,not_applicable
Switzerland,Cameroon,2021,88,eurostat,eurostat_first_permits,permit,covid,Q2_entry_reasons,family,not_applicable
United Kingdom,Cameroon,2021,0,eurostat,eurostat_first_permits,permit,covid,Q2_entry_reasons,family,not_applicable
Serbia,Cameroon,2021,0,eurostat,eurostat_first_permits,permit,covid,Q2_entry_reasons,family,not_applicable
Belgium,Cameroon,2022,1055,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Bulgaria,Cameroon,2022,6,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Czechia,Cameroon,2022,7,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Denmark,Cameroon,2022,64,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Germany,Cameroon,2022,1236,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Estonia,Cameroon,2022,11,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Ireland,Cameroon,2022,6,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Greece,Cameroon,2022,2,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Spain,Cameroon,2022,239,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
France,Cameroon,2022,2557,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Croatia,Cameroon,2022,0,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Italy,Cameroon,2022,513,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Cyprus,Cameroon,2022,22,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Latvia,Cameroon,2022,0,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Lithuania,Cameroon,2022,2,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Luxembourg,Cameroon,2022,88,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Hungary,Cameroon,2022,5,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Malta,Cameroon,2022,0,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Netherlands,Cameroon,2022,61,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Austria,Cameroon,2022,21,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Poland,Cameroon,2022,17,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Portugal,Cameroon,2022,23,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Romania,Cameroon,2022,10,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Slovenia,Cameroon,2022,2,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Slovakia,Cameroon,2022,4,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
