destination_country,origin_country,year,value,source,dataset,measure_type,period,analysis_question
Serbia,Cameroon,2023,0,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Belgium,Cameroon,2024,548,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Bulgaria,Cameroon,2024,1,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Czechia,Cameroon,2024,10,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Denmark,Cameroon,2024,10,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Germany,Cameroon,2024,496,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Estonia,Cameroon,2024,5,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Ireland,Cameroon,2024,24,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Greece,Cameroon,2024,3,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Spain,Cameroon,2024,138,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
France,Cameroon,2024,5007,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Croatia,Cameroon,2024,2,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Italy,Cameroon,2024,229,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Cyprus,Cameroon,2024,2,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Latvia,Cameroon,2024,12,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Lithuania,Cameroon,2024,1,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Luxembourg,Cameroon,2024,44,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Hungary,Cameroon,2024,0,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Malta,Cameroon,2024,5,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Netherlands,Cameroon,2024,11,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Austria,Cameroon,2024,4,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Poland,Cameroon,2024,15,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
