destination_country,origin_country,year,value,source,dataset,measure_type,period,analysis_question
Bulgaria,Cameroon,2016,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Czechia,Cameroon,2016,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Denmark,Cameroon,2016,51,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Germany,Cameroon,2016,920,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Estonia,Cameroon,2016,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Ireland,Cameroon,2016,43,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Greece,Cameroon,2016,3,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Spain,Cameroon,2016,196,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
France,Cameroon,2016,3377,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Croatia,Cameroon,2016,1,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Italy,Cameroon,2016,658,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Cyprus,Cameroon,2016,1,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Latvia,Cameroon,2016,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Lithuania,Cameroon,2016,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Luxembourg,Cameroon,2016,18,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Hungary,Cameroon,2016,7,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Malta,Cameroon,2016,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Netherlands,Cameroon,2016,88,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Austria,Cameroon,2016,35,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Poland,Cameroon,2016,6,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Portugal,Cameroon,2016,12,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Romania,Cameroon,2016,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Slovenia,Cameroon,2016,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Slovakia,Cameroon,2016,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Finland,Cameroon,2016,67,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Sweden,Cameroon,2016,123,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Iceland,Cameroon,2016,2,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Liechtenstein,Cameroon,2016,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Norway,Cameroon,2016,38,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Switzerland,Cameroon,2016,227,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
United Kingdom,Cameroon,2016,508,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
North Macedonia,Cameroon,2016,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Georgia,Cameroon,2016,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Albania,Cameroon,2016,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Türkiye,Cameroon,2016,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Ukraine,Cameroon,2016,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Belarus,Cameroon,2016,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Russia,Cameroon,2016,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Armenia,Cameroon,2016,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Belgium,Cameroon,2017,872,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Bulgaria,Cameroon,2017,1,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Czechia,Cameroon,2017,2,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Denmark,Cameroon,2017,14,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Germany,Cameroon,2017,953,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Estonia,Cameroon,2017,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Ireland,Cameroon,2017,38,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Greece,Cameroon,2017,3,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Spain,Cameroon,2017,83,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
France,Cameroon,2017,3137,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Croatia,Cameroon,2017,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Italy,Cameroon,2017,488,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Cyprus,Cameroon,2017,2,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Latvia,Cameroon,2017,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Lithuania,Cameroon,2017,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Luxembourg,Cameroon,2017,20,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Hungary,Cameroon,2017,1,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Malta,Cameroon,2017,1,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Netherlands,Cameroon,2017,64,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Austria,Cameroon,2017,24,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Poland,Cameroon,2017,10,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Portugal,Cameroon,2017,5,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Romania,Cameroon,2017,1,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Slovenia,Cameroon,2017,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Slovakia,Cameroon,2017,1,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Finland,Cameroon,2017,82,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Sweden,Cameroon,2017,145,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Iceland,Cameroon,2017,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Liechtenstein,Cameroon,2017,1,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Norway,Cameroon,2017,39,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Switzerland,Cameroon,2017,211,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
United Kingdom,Cameroon,2017,414,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
North Macedonia,Cameroon,2017,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Georgia,Cameroon,2017,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
