destination_country,origin_country,year,value,source,dataset,measure_type,period,analysis_question,total_migrants,male_migrants,female_migrants,destination_code,origin_code
Costa Rica,Cameroon,2015,9.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,9.0,4.0,5.0,188,120
Mexico,Cameroon,2015,98.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,98.0,70.0,28.0,484,120
Bolivia (Plurinational State of),Cameroon,2015,13.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,13.0,11.0,2.0,68,120
Brazil,Cameroon,2015,268.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,268.0,174.0,94.0,76,120
Chile,Cameroon,2015,110.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,110.0,55.0,55.0,152,120
Canada,Cameroon,2015,18062.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,18062.0,9184.0,8878.0,124,120
Australia,Cameroon,2015,450.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,450.0,264.0,186.0,36,120
Zambia,Cameroon,2020,299.0,undesa,undesa_destinations,stock,covid,Q1_destinations,299.0,164.0,135.0,894,120
Chad,Cameroon,2020,35635.0,undesa,undesa_destinations,stock,covid,Q1_destinations,35635.0,15927.0,19708.0,148,120
Congo,Cameroon,2020,11225.0,undesa,undesa_destinations,stock,covid,Q1_destinations,11225.0,6658.0,4567.0,178,120
Equatorial Guinea,Cameroon,2020,957.0,undesa,undesa_destinations,stock,covid,Q1_destinations,957.0,643.0,314.0,226,120
Gabon,Cameroon,2020,50906.0,undesa,undesa_destinations,stock,covid,Q1_destinations,50906.0,29575.0,21331.0,266,120
Egypt,Cameroon,2020,337.0,undesa,undesa_destinations,stock,covid,Q1_destinations,337.0,286.0,51.0,818,120
Tunisia,Cameroon,2020,758.0,undesa,undesa_destinations,stock,covid,Q1_destinations,758.0,396.0,362.0,788,120
Namibia,Cameroon,2020,122.0,undesa,undesa_destinations,stock,covid,Q1_destinations,122.0,101.0,21.0,516,120
South Africa,Cameroon,2020,6112.0,undesa,undesa_destinations,stock,covid,Q1_destinations,6112.0,4237.0,1875.0,710,120
Ghana,Cameroon,2020,132.0,undesa,undesa_destinations,stock,covid,Q1_destinations,132.0,89.0,43.0,288,120
Guinea,Cameroon,2020,187.0,undesa,undesa_destinations,stock,covid,Q1_destinations,187.0,136.0,51.0,324,120
Mali,Cameroon,2020,2084.0,undesa,undesa_destinations,stock,covid,Q1_destinations,2084.0,1065.0,1019.0,466,120
Mauritania,Cameroon,2020,428.0,undesa,undesa_destinations,stock,covid,Q1_destinations,428.0,280.0,148.0,478,120
Niger,Cameroon,2020,531.0,undesa,undesa_destinations,stock,covid,Q1_destinations,531.0,228.0,303.0,562,120
Nigeria,Cameroon,2020,52489.0,undesa,undesa_destinations,stock,covid,Q1_destinations,52489.0,28631.0,23858.0,566,120
Senegal,Cameroon,2020,1050.0,undesa,undesa_destinations,stock,covid,Q1_destinations,1050.0,417.0,633.0,686,120
Togo,Cameroon,2020,702.0,undesa,undesa_destinations,stock,covid,Q1_destinations,702.0,452.0,250.0,768,120
China,Cameroon,2020,1907.0,undesa,undesa_destinations,stock,covid,Q1_destinations,1907.0,955.0,952.0,156,120
Japan,Cameroon,2020,1130.0,undesa,undesa_destinations,stock,covid,Q1_destinations,1130.0,778.0,352.0,392,120
India,Cameroon,2020,177.0,undesa,undesa_destinations,stock,covid,Q1_destinations,177.0,101.0,76.0,356,120
Cyprus,Cameroon,2020,1885.0,undesa,undesa_destinations,stock,covid,Q1_destinations,1885.0,1044.0,841.0,196,120
Bulgaria,Cameroon,2020,24.0,undesa,undesa_destinations,stock,covid,Q1_destinations,24.0,18.0,6.0,100,120
Hungary,Cameroon,2020,322.0,undesa,undesa_destinations,stock,covid,Q1_destinations,322.0,237.0,85.0,348,120
Slovakia,Cameroon,2020,15.0,undesa,undesa_destinations,stock,covid,Q1_destinations,15.0,12.0,3.0,703,120
Denmark,Cameroon,2020,848.0,undesa,undesa_destinations,stock,covid,Q1_destinations,848.0,464.0,384.0,208,120
Estonia,Cameroon,2020,80.0,undesa,undesa_destinations,stock,covid,Q1_destinations,80.0,57.0,23.0,233,120
Finland,Cameroon,2020,1094.0,undesa,undesa_destinations,stock,covid,Q1_destinations,1094.0,676.0,418.0,246,120
Iceland,Cameroon,2020,5.0,undesa,undesa_destinations,stock,covid,Q1_destinations,5.0,3.0,2.0,352,120
Latvia,Cameroon,2020,4.0,undesa,undesa_destinations,stock,covid,Q1_destinations,4.0,4.0,,428,120
Lithuania,Cameroon,2020,30.0,undesa,undesa_destinations,stock,covid,Q1_destinations,30.0,22.0,8.0,440,120
Norway,Cameroon,2020,814.0,undesa,undesa_destinations,stock,covid,Q1_destinations,814.0,449.0,365.0,578,120
