destination_country,entry_reasons,year,permits,source
Finlande,travail,2017,16,eurostat
Suède,travail,2017,14,eurostat
Islande,travail,2017,0,eurostat
Liechtenstein,travail,2017,0,eurostat
Norvège,travail,2017,4,eurostat
Suisse,travail,2017,15,eurostat
United Kingdom,travail,2017,29,eurostat
Serbie,travail,2017,0,eurostat
Belgique,travail,2018,55,eurostat
Bulgarie,travail,2018,0,eurostat
Tchéquie,travail,2018,5,eurostat
Danemark,travail,2018,17,eurostat
Allemagne,travail,2018,91,eurostat
Estonie,travail,2018,1,eurostat
Irlande,travail,2018,10,eurostat
Grèce,travail,2018,1,eurostat
Espagne,travail,2018,106,eurostat
France,travail,2018,336,eurostat
Croatie,travail,2018,0,eurostat
Italie,travail,2018,7,eurostat
Chypre,travail,2018,5,eurostat
Lettonie,travail,2018,0,eurostat
Lituanie,travail,2018,1,eurostat
Luxembourg,travail,2018,13,eurostat
Hongrie,travail,2018,4,eurostat
Malte,travail,2018,4,eurostat
Pays-Bas,travail,2018,16,eurostat
Autriche,travail,2018,5,eurostat
Pologne,travail,2018,28,eurostat
Portugal,travail,2018,9,eurostat
Roumanie,travail,2018,6,eurostat
Slovénie,travail,2018,0,eurostat
Slovaquie,travail,2018,0,eurostat
Finlande,travail,2018,11,eurostat
Suède,travail,2018,16,eurostat
Islande,travail,2018,0,eurostat
Liechtenstein,travail,2018,0,eurostat
Norvège,travail,2018,5,eurostat
Suisse,travail,2018,11,eurostat
United Kingdom,travail,2018,29,eurostat
Serbie,travail,2018,0,eurostat
Belgique,travail,2019,44,eurostat
Bulgarie,travail,2019,0,eurostat
Tchéquie,travail,2019,6,eurostat
Danemark,travail,2019,5,eurostat
Allemagne,travail,2019,154,eurostat
Estonie,travail,2019,1,eurostat
Irlande,travail,2019,7,eurostat
Grèce,travail,2019,2,eurostat
Espagne,travail,2019,136,eurostat
France,travail,2019,389,eurostat
Croatie,travail,2019,6,eurostat
Italie,travail,2019,7,eurostat
Chypre,travail,2019,4,eurostat
Lettonie,travail,2019,0,eurostat
Lituanie,travail,2019,1,eurostat
Luxembourg,travail,2019,20,eurostat
Hongrie,travail,2019,11,eurostat
Malte,travail,2019,4,eurostat
Pays-Bas,travail,2019,13,eurostat
Autriche,travail,2019,6,eurostat
Pologne,travail,2019,36,eurostat
Portugal,travail,2019,9,eurostat
Roumanie,travail,2019,14,eurostat
Slovénie,travail,2019,0,eurostat
Slovaquie,travail,2019,0,eurostat
Finlande,travail,2019,14,eurostat
Suède,travail,2019,18,eurostat
Islande,travail,2019,0,eurostat
Liechtenstein,travail,2019,0,eurostat
Norvège,travail,2019,3,eurostat
Suisse,travail,2019,0,eurostat
United Kingdom,travail,2019,0,eurostat
Serbie,travail,2019,0,eurostat
Belgique,travail,2020,32,eurostat
Bulgarie,travail,2020,1,eurostat
Tchéquie,travail,2020,2,eurostat
Danemark,travail,2020,17,eurostat
Allemagne,travail,2020,119,eurostat
Estonie,travail,2020,1,eurostat
Irlande,travail,2020,1,eurostat
Grèce,travail,2020,3,eurostat
Espagne,travail,2020,143,eurostat
France,travail,2020,346,eurostat
Croatie,travail,2020,7,eurostat
Italie,travail,2020,13,eurostat
Chypre,travail,2020,4,eurostat
Lettonie,travail,2020,0,eurostat
Lituanie,travail,2020,5,eurostat
Luxembourg,travail,2020,22,eurostat
Hongrie,travail,2020,7,eurostat
Malte,travail,2020,1,eurostat
Pays-Bas,travail,2020,13,eurostat
Autriche,travail,2020,4,eurostat
Pologne,travail,2020,18,eurostat
Portugal,travail,2020,13,eurostat
Roumanie,travail,2020,3,eurostat
Slovénie,travail,2020,1,eurostat
Slovaquie,travail,2020,1,eurostat
Finlande,travail,2020,31,eurostat
Suède,travail,2020,28,eurostat
Islande,travail,2020,1,eurostat
Liechtenstein,travail,2020,0,eurostat
Norvège,travail,2020,6,eurostat
Suisse,travail,2020,9,eurostat
United Kingdom,travail,2020,0,eurostat
Serbie,travail,2020,0,eurostat
Belgique,travail,2021,49,eurostat
Bulgarie,travail,2021,2,eurostat
Tchéquie,travail,2021,2,eurostat
Danemark,travail,2021,12,eurostat
Allemagne,travail,2021,236,eurostat
Estonie,travail,2021,4,eurostat
Irlande,travail,2021,4,eurostat
Grèce,travail,2021,8,eurostat
Espagne,travail,2021,217,eurostat
France,travail,2021,443,eurostat
Croatie,travail,2021,7,eurostat
Italie,travail,2021,42,eurostat
Chypre,travail,2021,4,eurostat
Lettonie,travail,2021,1,eurostat
Lituanie,travail,2021,2,eurostat
Luxembourg,travail,2021,22,eurostat
Hongrie,travail,2021,3,eurostat
Malte,travail,2021,1,eurostat
Pays-Bas,travail,2021,13,eurostat
Autriche,travail,2021,5,eurostat
Pologne,travail,2021,37,eurostat
Portugal,travail,2021,31,eurostat
Roumanie,travail,2021,27,eurostat
Slovénie,travail,2021,0,eurostat
Slovaquie,travail,2021,0,eurostat
Finlande,travail,2021,35,eurostat
Suède,travail,2021,38,eurostat
Islande,travail,2021,0,eurostat
Liechtenstein,travail,2021,0,eurostat
Norvège,travail,2021,4,eurostat
Suisse,travail,2021,15,eurostat
United Kingdom,travail,2021,0,eurostat
Serbie,travail,2021,0,eurostat
Belgique,travail,2022,41,eurostat
Bulgarie,travail,2022,2,eurostat
Tchéquie,travail,2022,6,eurostat
Danemark,travail,2022,23,eurostat
Allemagne,travail,2022,310,eurostat
Estonie,travail,2022,2,eurostat
Irlande,travail,2022,18,eurostat
Grèce,travail,2022,5,eurostat
Espagne,travail,2022,256,eurostat
France,travail,2022,547,eurostat
Croatie,travail,2022,7,eurostat
Italie,travail,2022,58,eurostat
Chypre,travail,2022,11,eurostat
Lettonie,travail,2022,3,eurostat
Lituanie,travail,2022,3,eurostat
Luxembourg,travail,2022,30,eurostat
Hongrie,travail,2022,7,eurostat
Malte,travail,2022,6,eurostat
Pays-Bas,travail,2022,27,eurostat
Autriche,travail,2022,5,eurostat
Pologne,travail,2022,51,eurostat
Portugal,travail,2022,20,eurostat
Roumanie,travail,2022,61,eurostat
Slovénie,travail,2022,0,eurostat
Slovaquie,travail,2022,6,eurostat
Finlande,travail,2022,55,eurostat
Suède,travail,2022,54,eurostat
Islande,travail,2022,0,eurostat
Liechtenstein,travail,2022,0,eurostat
Norvège,travail,2022,3,eurostat
Suisse,travail,2022,27,eurostat
United Kingdom,travail,2022,0,eurostat
Serbie,travail,2022,0,eurostat
Belgique,travail,2023,38,eurostat
Bulgarie,travail,2023,15,eurostat
Tchéquie,travail,2023,8,eurostat
Danemark,travail,2023,14,eurostat
Allemagne,travail,2023,328,eurostat
Estonie,travail,2023,0,eurostat
Irlande,travail,2023,20,eurostat
Grèce,travail,2023,5,eurostat
Espagne,travail,2023,202,eurostat
France,travail,2023,688,eurostat
Croatie,travail,2023,33,eurostat
Italie,travail,2023,21,eurostat
Chypre,travail,2023,7,eurostat
Lettonie,travail,2023,0,eurostat
Lituanie,travail,2023,13,eurostat
Luxembourg,travail,2023,34,eurostat
Hongrie,travail,2023,6,eurostat
Malte,travail,2023,7,eurostat
Pays-Bas,travail,2023,21,eurostat
Autriche,travail,2023,7,eurostat
Pologne,travail,2023,51,eurostat
Portugal,travail,2023,17,eurostat
Roumanie,travail,2023,127,eurostat
Slovénie,travail,2023,0,eurostat
Slovaquie,travail,2023,2,eurostat
Finlande,travail,2023,58,eurostat
Suède,travail,2023,29,eurostat
Islande,travail,2023,2,eurostat
Liechtenstein,travail,2023,0,eurostat
Norvège,travail,2023,4,eurostat
Suisse,travail,2023,28,eurostat
United Kingdom,travail,2023,0,eurostat
Serbie,travail,2023,0,eurostat
Belgique,travail,2024,41,eurostat
Bulgarie,travail,2024,8,eurostat
Tchéquie,travail,2024,5,eurostat
Danemark,travail,2024,16,eurostat
Allemagne,travail,2024,301,eurostat
Estonie,travail,2024,1,eurostat
Irlande,travail,2024,11,eurostat
Grèce,travail,2024,39,eurostat
Espagne,travail,2024,138,eurostat
France,travail,2024,608,eurostat
Croatie,travail,2024,15,eurostat
Italie,travail,2024,21,eurostat
Chypre,travail,2024,15,eurostat
Lettonie,travail,2024,2,eurostat
Lituanie,travail,2024,15,eurostat
Luxembourg,travail,2024,43,eurostat
Hongrie,travail,2024,13,eurostat
Malte,travail,2024,4,eurostat
Pays-Bas,travail,2024,18,eurostat
Autriche,travail,2024,8,eurostat
Pologne,travail,2024,39,eurostat
Portugal,travail,2024,49,eurostat
Roumanie,travail,2024,66,eurostat
Slovénie,travail,2024,0,eurostat
Slovaquie,travail,2024,0,eurostat
Finlande,travail,2024,43,eurostat
Suède,travail,2024,21,eurostat
Islande,travail,2024,0,eurostat
Liechtenstein,travail,2024,0,eurostat
Norvège,travail,2024,4,eurostat
Suisse,travail,2024,19,eurostat
United Kingdom,travail,2024,0,eurostat
Serbie,travail,2024,7,eurostat
Belgique,autre,2015,179,eurostat
Bulgarie,autre,2015,0,eurostat
Tchéquie,autre,2015,1,eurostat
Danemark,autre,2015,3,eurostat
Allemagne,autre,2015,71,eurostat
Estonie,autre,2015,0,eurostat
Irlande,autre,2015,66,eurostat
Grèce,autre,2015,1,eurostat
Espagne,autre,2015,27,eurostat
France,autre,2015,779,eurostat
Croatie,autre,2015,1,eurostat
Italie,autre,2015,90,eurostat
Chypre,autre,2015,6,eurostat
Lettonie,autre,2015,0,eurostat
Lituanie,autre,2015,0,eurostat
Luxembourg,autre,2015,6,eurostat
Hongrie,autre,2015,4,eurostat
Malte,autre,2015,2,eurostat
Pays-Bas,autre,2015,21,eurostat
Autriche,autre,2015,59,eurostat
Pologne,autre,2015,3,eurostat
Portugal,autre,2015,5,eurostat
Roumanie,autre,2015,4,eurostat
Slovénie,autre,2015,1,eurostat
Slovaquie,autre,2015,0,eurostat
Finlande,autre,2015,15,eurostat
Suède,autre,2015,32,eurostat
Islande,autre,2015,2,eurostat
Liechtenstein,autre,2015,0,eurostat
Norvège,autre,2015,2,eurostat
Suisse,autre,2015,30,eurostat
United Kingdom,autre,2015,264,eurostat
Serbie,autre,2015,0,eurostat
Belgique,autre,2016,180,eurostat
Bulgarie,autre,2016,0,eurostat
Tchéquie,autre,2016,3,eurostat
Danemark,autre,2016,0,eurostat
Allemagne,autre,2016,131,eurostat
Estonie,autre,2016,0,eurostat
Irlande,autre,2016,44,eurostat
Grèce,autre,2016,9,eurostat
Espagne,autre,2016,40,eurostat
France,autre,2016,877,eurostat
Croatie,autre,2016,0,eurostat
Italie,autre,2016,1164,eurostat
Chypre,autre,2016,12,eurostat
Lettonie,autre,2016,0,eurostat
Lituanie,autre,2016,0,eurostat
Luxembourg,autre,2016,10,eurostat
Hongrie,autre,2016,7,eurostat
Malte,autre,2016,0,eurostat
Pays-Bas,autre,2016,27,eurostat
Autriche,autre,2016,62,eurostat
Pologne,autre,2016,13,eurostat
Portugal,autre,2016,13,eurostat
Roumanie,autre,2016,3,eurostat
Slovénie,autre,2016,0,eurostat
Slovaquie,autre,2016,1,eurostat
Finlande,autre,2016,31,eurostat
Suède,autre,2016,31,eurostat
Islande,autre,2016,0,eurostat
Liechtenstein,autre,2016,0,eurostat
Norvège,autre,2016,2,eurostat
Suisse,autre,2016,27,eurostat
United Kingdom,autre,2016,217,eurostat
Serbie,autre,2016,0,eurostat
Belgique,autre,2017,201,eurostat
Bulgarie,autre,2017,0,eurostat
Tchéquie,autre,2017,9,eurostat
Danemark,autre,2017,2,eurostat
Allemagne,autre,2017,201,eurostat
Estonie,autre,2017,0,eurostat
Irlande,autre,2017,34,eurostat
Grèce,autre,2017,5,eurostat
Espagne,autre,2017,26,eurostat
France,autre,2017,773,eurostat
Croatie,autre,2017,0,eurostat
Italie,autre,2017,1625,eurostat
Chypre,autre,2017,7,eurostat
Lettonie,autre,2017,0,eurostat
Lituanie,autre,2017,0,eurostat
Luxembourg,autre,2017,13,eurostat
Hongrie,autre,2017,17,eurostat
Malte,autre,2017,0,eurostat
Pays-Bas,autre,2017,31,eurostat
Autriche,autre,2017,35,eurostat
Pologne,autre,2017,11,eurostat
Portugal,autre,2017,8,eurostat
Roumanie,autre,2017,15,eurostat
Slovénie,autre,2017,2,eurostat
Slovaquie,autre,2017,0,eurostat
Finlande,autre,2017,6,eurostat
Suède,autre,2017,25,eurostat
Islande,autre,2017,0,eurostat
Liechtenstein,autre,2017,0,eurostat
Norvège,autre,2017,2,eurostat
Suisse,autre,2017,15,eurostat
United Kingdom,autre,2017,273,eurostat
Serbie,autre,2017,0,eurostat
Belgique,autre,2018,164,eurostat
Bulgarie,autre,2018,0,eurostat
Tchéquie,autre,2018,2,eurostat
Danemark,autre,2018,1,eurostat
Allemagne,autre,2018,241,eurostat
Estonie,autre,2018,0,eurostat
Irlande,autre,2018,27,eurostat
Grèce,autre,2018,1,eurostat
Espagne,autre,2018,50,eurostat
France,autre,2018,867,eurostat
Croatie,autre,2018,0,eurostat
Italie,autre,2018,797,eurostat
Chypre,autre,2018,19,eurostat
Lettonie,autre,2018,0,eurostat
Lituanie,autre,2018,0,eurostat
Luxembourg,autre,2018,10,eurostat
Hongrie,autre,2018,7,eurostat
Malte,autre,2018,1,eurostat
Pays-Bas,autre,2018,17,eurostat
Autriche,autre,2018,36,eurostat
Pologne,autre,2018,16,eurostat
Portugal,autre,2018,7,eurostat
Roumanie,autre,2018,4,eurostat
Slovénie,autre,2018,0,eurostat
Slovaquie,autre,2018,0,eurostat
Finlande,autre,2018,18,eurostat
Suède,autre,2018,46,eurostat
Islande,autre,2018,0,eurostat
Liechtenstein,autre,2018,0,eurostat
Norvège,autre,2018,3,eurostat
Suisse,autre,2018,24,eurostat
United Kingdom,autre,2018,202,eurostat
Serbie,autre,2018,0,eurostat
Belgique,autre,2019,170,eurostat
Bulgarie,autre,2019,0,eurostat
Tchéquie,autre,2019,5,eurostat
Danemark,autre,2019,4,eurostat
Allemagne,autre,2019,320,eurostat
Estonie,autre,2019,0,eurostat
Irlande,autre,2019,20,eurostat
Grèce,autre,2019,2,eurostat
Espagne,autre,2019,62,eurostat
France,autre,2019,934,eurostat
Croatie,autre,2019,1,eurostat
Italie,autre,2019,803,eurostat
Chypre,autre,2019,21,eurostat
Lettonie,autre,2019,0,eurostat
Lituanie,autre,2019,0,eurostat
Luxembourg,autre,2019,22,eurostat
Hongrie,autre,2019,11,eurostat
Malte,autre,2019,0,eurostat
Pays-Bas,autre,2019,22,eurostat
Autriche,autre,2019,30,eurostat
Pologne,autre,2019,8,eurostat
Portugal,autre,2019,8,eurostat
Roumanie,autre,2019,1,eurostat
Slovénie,autre,2019,1,eurostat
Slovaquie,autre,2019,1,eurostat
Finlande,autre,2019,31,eurostat
Suède,autre,2019,72,eurostat
Islande,autre,2019,3,eurostat
Liechtenstein,autre,2019,0,eurostat
Norvège,autre,2019,2,eurostat
Suisse,autre,2019,11,eurostat
United Kingdom,autre,2019,0,eurostat
Serbie,autre,2019,0,eurostat
Belgique,autre,2020,169,eurostat
Bulgarie,autre,2020,0,eurostat
Tchéquie,autre,2020,1,eurostat
Danemark,autre,2020,2,eurostat
Allemagne,autre,2020,364,eurostat
Estonie,autre,2020,1,eurostat
Irlande,autre,2020,33,eurostat
Grèce,autre,2020,2,eurostat
Espagne,autre,2020,65,eurostat
France,autre,2020,809,eurostat
Croatie,autre,2020,1,eurostat
Italie,autre,2020,405,eurostat
Chypre,autre,2020,13,eurostat
Lettonie,autre,2020,0,eurostat
Lituanie,autre,2020,1,eurostat
Luxembourg,autre,2020,18,eurostat
Hongrie,autre,2020,12,eurostat
Malte,autre,2020,0,eurostat
Pays-Bas,autre,2020,12,eurostat
Autriche,autre,2020,22,eurostat
Pologne,autre,2020,10,eurostat
Portugal,autre,2020,11,eurostat
Roumanie,autre,2020,2,eurostat
Slovénie,autre,2020,0,eurostat
Slovaquie,autre,2020,0,eurostat
Finlande,autre,2020,21,eurostat
Suède,autre,2020,41,eurostat
Islande,autre,2020,3,eurostat
Liechtenstein,autre,2020,0,eurostat
Norvège,autre,2020,4,eurostat
Suisse,autre,2020,0,eurostat
United Kingdom,autre,2020,0,eurostat
Serbie,autre,2020,0,eurostat
Belgique,autre,2021,231,eurostat
Bulgarie,autre,2021,0,eurostat
Tchéquie,autre,2021,1,eurostat
Danemark,autre,2021,9,eurostat
Allemagne,autre,2021,459,eurostat
Estonie,autre,2021,2,eurostat
Irlande,autre,2021,26,eurostat
Grèce,autre,2021,301,eurostat
Espagne,autre,2021,88,eurostat
France,autre,2021,941,eurostat
Croatie,autre,2021,0,eurostat
Italie,autre,2021,604,eurostat
Chypre,autre,2021,27,eurostat
Lettonie,autre,2021,0,eurostat
Lituanie,autre,2021,0,eurostat
Luxembourg,autre,2021,2,eurostat
Hongrie,autre,2021,1,eurostat
Malte,autre,2021,0,eurostat
Pays-Bas,autre,2021,39,eurostat
Autriche,autre,2021,23,eurostat
Pologne,autre,2021,11,eurostat
Portugal,autre,2021,8,eurostat
Roumanie,autre,2021,6,eurostat
Slovénie,autre,2021,1,eurostat
Slovaquie,autre,2021,0,eurostat
Finlande,autre,2021,17,eurostat
Suède,autre,2021,42,eurostat
Islande,autre,2021,0,eurostat
Liechtenstein,autre,2021,0,eurostat
Norvège,autre,2021,2,eurostat
Suisse,autre,2021,40,eurostat
United Kingdom,autre,2021,0,eurostat
Serbie,autre,2021,0,eurostat
Belgique,autre,2022,262,eurostat
Bulgarie,autre,2022,0,eurostat
Tchéquie,autre,2022,5,eurostat
Danemark,autre,2022,3,eurostat
Allemagne,autre,2022,481,eurostat
Estonie,autre,2022,2,eurostat
Irlande,autre,2022,40,eurostat
Grèce,autre,2022,338,eurostat
Espagne,autre,2022,74,eurostat
France,autre,2022,762,eurostat
Croatie,autre,2022,0,eurostat
Italie,autre,2022,784,eurostat
Chypre,autre,2022,76,eurostat
Lettonie,autre,2022,1,eurostat
Lituanie,autre,2022,32,eurostat
Luxembourg,autre,2022,2,eurostat
Hongrie,autre,2022,5,eurostat
Malte,autre,2022,2,eurostat
Pays-Bas,autre,2022,26,eurostat
Autriche,autre,2022,33,eurostat
Pologne,autre,2022,13,eurostat
Portugal,autre,2022,7,eurostat
Roumanie,autre,2022,2,eurostat
Slovénie,autre,2022,4,eurostat
Slovaquie,autre,2022,1,eurostat
Finlande,autre,2022,33,eurostat
Suède,autre,2022,30,eurostat
Islande,autre,2022,0,eurostat
Liechtenstein,autre,2022,0,eurostat
Norvège,autre,2022,0,eurostat
Suisse,autre,2022,42,eurostat
United Kingdom,autre,2022,0,eurostat
Serbie,autre,2022,0,eurostat
Belgique,autre,2023,360,eurostat
Bulgarie,autre,2023,0,eurostat
Tchéquie,autre,2023,1,eurostat
Danemark,autre,2023,9,eurostat
Allemagne,autre,2023,549,eurostat
Estonie,autre,2023,0,eurostat
Irlande,autre,2023,31,eurostat
Grèce,autre,2023,354,eurostat
Espagne,autre,2023,111,eurostat
France,autre,2023,960,eurostat
Croatie,autre,2023,0,eurostat
Italie,autre,2023,2561,eurostat
Chypre,autre,2023,63,eurostat
Lettonie,autre,2023,0,eurostat
Lituanie,autre,2023,0,eurostat
Luxembourg,autre,2023,3,eurostat
Hongrie,autre,2023,5,eurostat
Malte,autre,2023,9,eurostat
Pays-Bas,autre,2023,24,eurostat
Autriche,autre,2023,51,eurostat
Pologne,autre,2023,18,eurostat
Portugal,autre,2023,14,eurostat
Roumanie,autre,2023,9,eurostat
Slovénie,autre,2023,2,eurostat
Slovaquie,autre,2023,0,eurostat
Finlande,autre,2023,28,eurostat
Suède,autre,2023,29,eurostat
Islande,autre,2023,1,eurostat
Liechtenstein,autre,2023,0,eurostat
Norvège,autre,2023,4,eurostat
Suisse,autre,2023,27,eurostat
United Kingdom,autre,2023,0,eurostat
Serbie,autre,2023,0,eurostat
Belgique,autre,2024,458,eurostat
Bulgarie,autre,2024,1,eurostat
Tchéquie,autre,2024,5,eurostat
Danemark,autre,2024,3,eurostat
Allemagne,autre,2024,436,eurostat
Estonie,autre,2024,0,eurostat
Irlande,autre,2024,34,eurostat
Grèce,autre,2024,224,eurostat
Espagne,autre,2024,51,eurostat
France,autre,2024,1021,eurostat
Croatie,autre,2024,1,eurostat
Italie,autre,2024,1526,eurostat
Chypre,autre,2024,250,eurostat
Lettonie,autre,2024,1,eurostat
Lituanie,autre,2024,7,eurostat
Luxembourg,autre,2024,16,eurostat
Hongrie,autre,2024,5,eurostat
Malte,autre,2024,2,eurostat
Pays-Bas,autre,2024,25,eurostat
Autriche,autre,2024,34,eurostat
Pologne,autre,2024,17,eurostat
Portugal,autre,2024,13,eurostat
Roumanie,autre,2024,13,eurostat
Slovénie,autre,2024,2,eurostat
Slovaquie,autre,2024,0,eurostat
Finlande,autre,2024,9,eurostat
Suède,autre,2024,33,eurostat
Islande,autre,2024,3,eurostat
Liechtenstein,autre,2024,0,eurostat
Norvège,autre,2024,5,eurostat
Suisse,autre,2024,23,eurostat
United Kingdom,autre,2024,0,eurostat
Serbie,autre,2024,0,eurostat
