destination_country,destination_code,origin_country,origin_code,year,total_migrants,male_migrants,female_migrants,source,dataset,measure_type,period
Portugal,620,Cameroon,120,2015,73.0,48.0,25.0,UN DESA,international_migrant_stock,stock,pre_covid
Slovenia,705,Cameroon,120,2015,17.0,16.0,1.0,UN DESA,international_migrant_stock,stock,pre_covid
Belgium,56,Cameroon,120,2015,16560.0,7873.0,8687.0,UN DESA,international_migrant_stock,stock,pre_covid
France*,250,Cameroon,120,2015,97288.0,39412.0,57876.0,UN DESA,international_migrant_stock,stock,pre_covid
Liechtenstein,438,Cameroon,120,2015,5.0,4.0,1.0,UN DESA,international_migrant_stock,stock,pre_covid
Luxembourg,442,Cameroon,120,2015,59.0,28.0,31.0,UN DESA,international_migrant_stock,stock,pre_covid
Dominican Republic,214,Cameroon,120,2015,23.0,12.0,11.0,UN DESA,international_migrant_stock,stock,pre_covid
Costa Rica,188,Cameroon,120,2015,9.0,4.0,5.0,UN DESA,international_migrant_stock,stock,pre_covid
Mexico,484,Cameroon,120,2015,98.0,70.0,28.0,UN DESA,international_migrant_stock,stock,pre_covid
Bolivia (Plurinational State of),68,Cameroon,120,2015,13.0,11.0,2.0,UN DESA,international_migrant_stock,stock,pre_covid
Brazil,76,Cameroon,120,2015,268.0,174.0,94.0,UN DESA,international_migrant_stock,stock,pre_covid
Chile,152,Cameroon,120,2015,110.0,55.0,55.0,UN DESA,international_migrant_stock,stock,pre_covid
Canada,124,Cameroon,120,2015,18062.0,9184.0,8878.0,UN DESA,international_migrant_stock,stock,pre_covid
Australia*,36,Cameroon,120,2015,450.0,264.0,186.0,UN DESA,international_migrant_stock,stock,pre_covid
Zambia,894,Cameroon,120,2020,299.0,164.0,135.0,UN DESA,international_migrant_stock,stock,covid
Chad,148,Cameroon,120,2020,35635.0,15927.0,19708.0,UN DESA,international_migrant_stock,stock,covid
Congo,178,Cameroon,120,2020,11225.0,6658.0,4567.0,UN DESA,international_migrant_stock,stock,covid
Equatorial Guinea,226,Cameroon,120,2020,957.0,643.0,314.0,UN DESA,international_migrant_stock,stock,covid
Gabon,266,Cameroon,120,2020,50906.0,29575.0,21331.0,UN DESA,international_migrant_stock,stock,covid
Egypt,818,Cameroon,120,2020,337.0,286.0,51.0,UN DESA,international_migrant_stock,stock,covid
Tunisia,788,Cameroon,120,2020,758.0,396.0,362.0,UN DESA,international_migrant_stock,stock,covid
Namibia,516,Cameroon,120,2020,122.0,101.0,21.0,UN DESA,international_migrant_stock,stock,covid
South Africa,710,Cameroon,120,2020,6112.0,4237.0,1875.0,UN DESA,international_migrant_stock,stock,covid
Ghana,288,Cameroon,120,2020,132.0,89.0,43.0,UN DESA,international_migrant_stock,stock,covid
Guinea,324,Cameroon,120,2020,187.0,136.0,51.0,UN DESA,international_migrant_stock,stock,covid
Mali,466,Cameroon,120,2020,2084.0,1065.0,1019.0,UN DESA,international_migrant_stock,stock,covid
Mauritania,478,Cameroon,120,2020,428.0,280.0,148.0,UN DESA,international_migrant_stock,stock,covid
Niger,562,Cameroon,120,2020,531.0,228.0,303.0,UN DESA,international_migrant_stock,stock,covid
Nigeria,566,Cameroon,120,2020,52489.0,28631.0,23858.0,UN DESA,international_migrant_stock,stock,covid
Senegal,686,Cameroon,120,2020,1050.0,417.0,633.0,UN DESA,international_migrant_stock,stock,covid
Togo,768,Cameroon,120,2020,702.0,452.0,250.0,UN DESA,international_migrant_stock,stock,covid
China,156,Cameroon,120,2020,1907.0,955.0,952.0,UN DESA,international_migrant_stock,stock,covid
Japan,392,Cameroon,120,2020,1130.0,778.0,352.0,UN DESA,international_migrant_stock,stock,covid
India,356,Cameroon,120,2020,177.0,101.0,76.0,UN DESA,international_migrant_stock,stock,covid
Cyprus,196,Cameroon,120,2020,1885.0,1044.0,841.0,UN DESA,international_migrant_stock,stock,covid
Bulgaria,100,Cameroon,120,2020,24.0,18.0,6.0,UN DESA,international_migrant_stock,stock,covid
Hungary,348,Cameroon,120,2020,322.0,237.0,85.0,UN DESA,international_migrant_stock,stock,covid
Slovakia,703,Cameroon,120,2020,15.0,12.0,3.0,UN DESA,international_migrant_stock,stock,covid
Denmark*,208,Cameroon,120,2020,848.0,464.0,384.0,UN DESA,international_migrant_stock,stock,covid
